"expen","age_ref","sex_ref","white","black","american_indian","asian","other","multi_race","welf_reic","welf_not_reiv","fwagexm","year","quarter"
370.51,88,2,1,0,0,0,0,0,0,1,37306.8,2017,1
322.02,88,2,1,0,0,0,0,0,0,1,39519.8,2017,1
277.88,31,2,0,1,0,0,0,0,0,1,15000,2017,1
81.42,31,2,0,1,0,0,0,0,0,1,15000,2017,1
216.8,25,1,0,0,0,0,1,0,0,1,45911.8,2017,1
290.94,25,1,0,0,0,0,1,0,0,1,44668.2,2017,1
259.47,52,1,1,0,0,0,0,0,0,1,117000,2017,1
364.23,52,1,1,0,0,0,0,0,0,1,117000,2017,1
137.68,55,1,1,0,0,0,0,0,0,1,110000,2017,1
394.67,55,1,1,0,0,0,0,0,0,1,110000,2017,1
3.25334,59,1,1,0,0,0,0,0,0,1,32000,2017,1
39.8,59,1,1,0,0,0,0,0,0,1,32000,2017,1
388.5,38,2,1,0,0,0,0,0,0,1,52000,2017,1
383.08,38,2,1,0,0,0,0,0,0,1,52000,2017,1
110.59,28,2,1,0,0,0,0,0,0,1,4000,2017,1
47.12,28,2,1,0,0,0,0,0,0,1,4000,2017,1
170.7,57,2,1,0,0,0,0,0,0,1,132995,2017,1
174.6675,57,2,1,0,0,0,0,0,0,1,132995,2017,1
847.5483,53,1,1,0,0,0,0,0,0,1,56176.4,2017,1
928.36,53,1,1,0,0,0,0,0,0,1,56203.2,2017,1
496.78,29,2,1,0,0,0,0,0,0,1,32000,2017,1
181.45,29,2,1,0,0,0,0,0,0,1,32000,2017,1
249.44,49,1,1,0,0,0,0,0,0,1,87000,2017,1
195.73,49,1,1,0,0,0,0,0,0,1,87000,2017,1
299.99998,18,2,1,0,0,0,0,0,0,1,28930.2,2017,1
199.99998,18,2,1,0,0,0,0,0,0,1,44289.2,2017,1
363.11998,66,2,1,0,0,0,0,0,0,1,60000,2017,1
328.59,66,2,1,0,0,0,0,0,0,1,60000,2017,1
437.63,39,1,1,0,0,0,0,0,0,1,130604.2,2017,1
59.6,39,1,1,0,0,0,0,0,0,1,120863.6,2017,1
757.99035,43,2,1,0,0,0,0,0,0,1,24558.4,2017,1
587.12998,43,2,1,0,0,0,0,0,0,1,22774.4,2017,1
162.26,60,2,0,1,0,0,0,0,0,1,62843.8,2017,1
82.86,60,2,0,1,0,0,0,0,0,1,42972.8,2017,1
498.94376,54,1,1,0,0,0,0,0,0,1,233230.8,2017,1
794.19861,54,1,1,0,0,0,0,0,0,1,233230.8,2017,1
204.71,60,2,1,0,0,0,0,0,0,1,41500,2017,1
449.29,60,2,1,0,0,0,0,0,0,1,41500,2017,1
297.8,64,1,1,0,0,0,0,0,0,1,67000,2017,1
177.04,64,1,1,0,0,0,0,0,0,1,67000,2017,1
187.38186,44,1,1,0,0,0,0,0,0,1,45100,2017,1
564.51,44,1,1,0,0,0,0,0,0,1,45100,2017,1
232.04221,82,2,1,0,0,0,0,0,0,1,23225.8,2017,1
213.96,82,2,1,0,0,0,0,0,0,1,41490.8,2017,1
226.52002,33,2,1,0,0,0,0,0,0,1,111000,2017,1
63.93,33,2,1,0,0,0,0,0,0,1,111000,2017,1
53.21,34,1,1,0,0,0,0,0,0,1,22200,2017,1
116.79,34,1,1,0,0,0,0,0,0,1,22200,2017,1
417.99593,71,1,1,0,0,0,0,0,0,1,3100,2017,1
611.92881,71,1,1,0,0,0,0,0,0,1,3100,2017,1
656.75319,33,2,1,0,0,0,0,0,0,1,75952.4,2017,1
174.8,33,2,1,0,0,0,0,0,0,1,105544,2017,1
257.6,62,1,1,0,0,0,0,0,0,1,163000,2017,1
553.54,62,1,1,0,0,0,0,0,0,1,163000,2017,1
242.38,39,2,1,0,0,0,0,0,0,1,50000,2017,1
66.52327,39,2,1,0,0,0,0,0,0,1,50000,2017,1
93.35,60,2,0,1,0,0,0,0,0,1,21778.8,2017,1
15.13,60,2,0,1,0,0,0,0,0,1,25728.2,2017,1
235.26,37,2,0,0,0,1,0,0,0,1,72000,2017,1
634.7827,37,2,0,0,0,1,0,0,0,1,72000,2017,1
336.49804,25,2,1,0,0,0,0,0,0,1,60883.6,2017,1
79.01,32,1,1,0,0,0,0,0,0,1,32847,2017,1
437.27,32,1,1,0,0,0,0,0,0,1,32847,2017,1
303.93004,33,2,0,0,0,1,0,0,0,1,45000,2017,1
185.02,33,2,0,0,0,1,0,0,0,1,45000,2017,1
713.04,52,2,1,0,0,0,0,0,0,1,259955.2,2017,1
38.2,52,2,1,0,0,0,0,0,0,1,100145.8,2017,1
92.4,79,1,1,0,0,0,0,0,0,1,25000,2017,1
186.84,79,1,1,0,0,0,0,0,0,1,25000,2017,1
343.12,42,2,1,0,0,0,0,0,0,1,76000,2017,1
525.66063,42,2,1,0,0,0,0,0,0,1,76000,2017,1
